,fbuid,name,introduction,countryside,address,rela,ava,cover,nums_of_friend,nums_of_images,nums_of_videos,nums_of_albums,Label
11,1.00012E+14,Nguyen Linh,chọn con <3 hay là nghe lý trí,,,,https://scontent.fhan14-4.fna.fbcdn.net/v/t31.18172-1/13698231_153290531762843_327088721961320847_o.jpg?stp=dst-jpg_p200x200&_nc_cat=102&ccb=1-7&_nc_sid=7206a8&_nc_ohc=9qivCHo4qV8AX9x1hYW&_nc_ht=scontent.fhan14-4.fna&oh=00_AfDRohOCyc9DZprBH7VPVoZtIGRz0CxkQL48YIviaz9FLA&oe=64D0A009,https://scontent.fhan14-2.fna.fbcdn.net/v/t1.18169-9/20953650_329873130771248_3515170326922310700_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=e3f864&_nc_ohc=R0B5rZNzBpsAX8ergiJ&_nc_ht=scontent.fhan14-2.fna&oh=00_AfBku_KrWZsPyh7qgdOm2149kJaDhbCfYGWGYV_R4MEu2Q&oe=64D0816D,,,,,0
12,1.00012E+14,Lê Hưng (TtMn),vui vẻ.. Học dở... Điên điên khùng khùng zậy mà dễ sống ...,,,,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.6435-1/84385535_937069660043408_7025306949851807744_n.jpg?stp=dst-jpg_p200x200&_nc_cat=110&ccb=1-7&_nc_sid=7206a8&_nc_ohc=gTEt-cbkm1AAX-JEhKf&_nc_ht=scontent.fhan14-3.fna&oh=00_AfALdAPrjTOAVcbImdmpkvYUlXZ90i2Mzo4I5wIFPA_vCw&oe=64D097B9,https://scontent.fhan14-2.fna.fbcdn.net/v/t1.6435-9/100912148_1021249298292110_1703944011724619776_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=e3f864&_nc_ohc=Vwjbb8TPJDYAX_HIqT4&_nc_ht=scontent.fhan14-2.fna&oh=00_AfApR9GOfWQfCuQ7ZB2fr2yP8kUoLitbEMaZRUfjTDDCRA&oe=64D09332,,,,,0
13,1.00008E+14,Thành Lợi,,,,,https://scontent.fhan14-4.fna.fbcdn.net/v/t39.30808-1/349858399_3406704302991952_2284484619577720365_n.jpg?stp=c0.0.200.200a_cp6_dst-jpg_p200x200&_nc_cat=102&ccb=1-7&_nc_sid=7206a8&_nc_ohc=CgcPRuWHx_kAX9ND8zS&_nc_ht=scontent.fhan14-4.fna&oh=00_AfDRS-_DCmfLL3FyaQq7bTIFdby8k2MYS0UQqcx0oOVRJw&oe=64AD2F49,https://scontent.fhan14-3.fna.fbcdn.net/v/t39.30808-6/274030950_3169997696594179_1330063144720989369_n.jpg?stp=dst-jpg_p720x720&_nc_cat=104&ccb=1-7&_nc_sid=e3f864&_nc_ohc=rapjhDDSVbUAX93Kxv2&_nc_ht=scontent.fhan14-3.fna&oh=00_AfDR2lSsPPfsGOlhXsmAZ1O96lsEcieDXsY5Ho16KtZ0iA&oe=64AD9F67,,,,,0
14,1.00016E+14,Như Huỳnh,,,,,https://scontent.fhan14-2.fna.fbcdn.net/v/t31.18172-1/17039189_103036386892997_4619424591563396163_o.jpg?stp=c0.73.200.200a_dst-jpg_p200x200&_nc_cat=106&ccb=1-7&_nc_sid=7206a8&_nc_ohc=5z262Ht7wzAAX-XAqQr&_nc_ht=scontent.fhan14-2.fna&oh=00_AfDXtr9cn7t5OkRUFViS8z4fU1GmaDaxMKbl3ug1vyU-sw&oe=64D09DB3,,,,,,0
15,1.00003E+14,Cherry Lê (Cherry Store),"🍀🍀Địa chỉ : BMT 🍀🍀Chuyên Thời Trang Nữ Hàng Thiết Kế , Hàng Quảng Châu .... 💞💞",,,,https://scontent.fhan14-3.fna.fbcdn.net/v/t39.30808-1/339580650_1937664213235064_8039599410018676366_n.jpg?stp=c0.20.200.200a_dst-jpg_p200x200&_nc_cat=111&ccb=1-7&_nc_sid=7206a8&_nc_ohc=g5_SIgO0_NAAX97tUHq&_nc_oc=AQnNcslGCt81FgfBQJ0ZvpT-taXPw7IJyXwsskbPs2gDwcM0HrLhGreOrxBepQLIBwH2eKVZV1BaDn4t9edKWMLR&_nc_ht=scontent.fhan14-3.fna&oh=00_AfClUT8-aIXtz_4Uh8vL7F3XCsLh0wFlAFAo5Y5uLkILIg&oe=64AF0F2B,https://scontent.fhan14-1.fna.fbcdn.net/v/t39.30808-6/312558653_5527826240664799_3315871200949622895_n.jpg?stp=dst-jpg_p640x640&_nc_cat=105&ccb=1-7&_nc_sid=e3f864&_nc_ohc=nlGE0QlGJx4AX_UNiwc&_nc_ht=scontent.fhan14-1.fna&oh=00_AfB1vkhCrYhUimvTumd-r-HighQTutRVAelGH_Cd7CPYnA&oe=64AD302E,,,,,1
16,1.0001E+14,Diệu nguyễn,,,,,https://scontent.fhan14-2.fna.fbcdn.net/v/t1.6435-1/179368597_1483819571956757_3225562223218338581_n.jpg?stp=dst-jpg_p200x200&_nc_cat=108&ccb=1-7&_nc_sid=7206a8&_nc_ohc=Ce5Y6fDWxDMAX8XirRN&_nc_ht=scontent.fhan14-2.fna&oh=00_AfA4l-U0U5SZ-yGU84AMnWkkEd82TpKDNtbpoRCIQWKVPw&oe=64D09A57,https://scontent.fhan14-2.fna.fbcdn.net/v/t31.18172-8/13724816_302131603458899_2602242220076137532_o.jpg?stp=dst-jpg_p720x720&_nc_cat=100&ccb=1-7&_nc_sid=e3f864&_nc_ohc=RMG3d3PORy8AX_u2vFP&_nc_ht=scontent.fhan14-2.fna&oh=00_AfCeywbLy8hcx3f7E4Uoh9Il07HXVdHqc9hBlcaEr-d5uQ&oe=64D097CA,,,,,0
17,1.00019E+14,Nguyễn Tuấn (nhếch),,,,,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.18169-1/19905091_105138973473009_6847367755170157996_n.jpg?stp=dst-jpg_p200x200&_nc_cat=101&ccb=1-7&_nc_sid=7206a8&_nc_ohc=sYqdVt8Y7ksAX_BPqMl&_nc_ht=scontent.fhan14-1.fna&oh=00_AfD9v8BdHYAN1HByTwShRkmhxufLZaN7vjkNyhLr6MDVJQ&oe=64D0A415,https://scontent.fhan14-4.fna.fbcdn.net/v/t1.18169-9/19959087_105167706803469_2400523263851765051_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=e3f864&_nc_ohc=R-phx3Z_L2wAX8Vz1mz&_nc_ht=scontent.fhan14-4.fna&oh=00_AfCBay6ZKxIB_qgkEtjzbyqksIRW6JxsXSdNcI59DtQZ1g&oe=64D0AB69,,,,,1
18,1.00017E+14,Trần Hạnh Thảo,,,,,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.30497-1/143086968_2856368904622192_1959732218791162458_n.png?_nc_cat=1&ccb=1-7&_nc_sid=7206a8&_nc_ohc=qovvqGMyZjYAX_qnEq4&_nc_ht=scontent.fhan14-1.fna&oh=00_AfAzdxlnZXmCNFqdxYlwnenovFLA94XorVjh_PjtgJLt1A&oe=64D09578,,,,,,1
19,1.00005E+14,Thảo Nguyên,,,,,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.6435-1/108908993_1683399085159343_7647237187102060697_n.jpg?stp=dst-jpg_p200x200&_nc_cat=111&ccb=1-7&_nc_sid=7206a8&_nc_ohc=6zB4jV_wLqEAX_3qibq&_nc_ht=scontent.fhan14-3.fna&oh=00_AfAzWBhHEITxpwuzXcMrfdSXIQ1JLxyUkEgeq6SQX0eIaQ&oe=64D0B520,https://scontent.fhan14-4.fna.fbcdn.net/v/t31.18172-8/26221034_905207749645151_2777175246484512918_o.jpg?stp=dst-jpg_s960x960&_nc_cat=102&ccb=1-7&_nc_sid=e3f864&_nc_ohc=ejxmuBSxiC0AX8pZ4yn&_nc_ht=scontent.fhan14-4.fna&oh=00_AfBF1lPt8PPlRk036o_sQOm8TzwRwDKBL0epau5qGnqajA&oe=64D0AB1D,,,,,1
20,1.00014E+14,Huỳnh Phan Bảo Nghi,2/9/2017❤ MT,,,,https://scontent.fhan14-2.fna.fbcdn.net/v/t31.18172-1/21458216_275940266227425_5574977454709237340_o.jpg?stp=dst-jpg_p200x200&_nc_cat=100&ccb=1-7&_nc_sid=7206a8&_nc_ohc=r4kIagspN0oAX-BgfFB&_nc_ht=scontent.fhan14-2.fna&oh=00_AfBYp8k5XOIdCTH-8KwzNJ_4unSgtU5oyaErcq5eLtM1TQ&oe=64D0B695,https://scontent.fhan14-2.fna.fbcdn.net/v/t31.18172-8/18556468_227430274411758_4485667344827844018_o.jpg?stp=dst-jpg_s960x960&_nc_cat=100&ccb=1-7&_nc_sid=e3f864&_nc_ohc=iwbu91gvJcwAX9cquqK&_nc_ht=scontent.fhan14-2.fna&oh=00_AfBxPkWf4VfvanuIpyVuttK_FSN0ZwN2JTwE66gqziydbA&oe=64D0A17C,,,,,0
